lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015
25.5,92.73,682,4.752552032,105.5209656,0,0,0,13,20,53.8,0,2.6,0,3,0,5,0,0,21
25.57,91.88,1521,0.728650928,208.9991302,0,7.2,0,14.9,5.7,3.1,3.7,0,4.2,0.8,0,2.2,0.8,0.4,0.4
25.62,93.67,366,0.475854754,227.9595184,0,0,0,0,0,18,24,0,1,0.5,25,2,0,0,2
25.63,94.17,1203,15.52780724,47.11017609,24.6,8.8,11.4,17.8,4.2,0,6.4,0,3.4,4.8,14.6,4.8,0,0,3.8
25.7,91.97,908,1.457437515,330.9745483,13.7,1.7,2.3,1.6,0.6,2.2,10.2,0,0,0,0,0.6,0,1.1,1.2
25.72,94.03,1125,13.46727276,357.0446472,0,9.2,6.4,3.6,0,1.6,38.6,0,1.2,2,1.6,18,0,4.2,9.8
25.75,93.18,141,0.952217698,312.0093689,0,0,0,0,0,12,0,33.2,1,0,1,19.8,0,0,0
25.8,93.58,207,4.176338196,237.7799072,2.2,2.8,0,51.6,0,32.8,4.2,0,0,12.8,27.2,16.4,0,0,0
25.83,92.83,97,4.240686893,270,0,0,0,0,3,3.8,0,0,1.2,0,0,0,0,0,1
25.87,93.43,175,3.414013386,304.01297,4,0,0,11,0,10,0,0,0,0,0,0,0,0,0
25.9,91.88,561,9.18572998,142.2842102,16.8,26.2,4,4.6,0,0,10.6,6,6.8,4.6,0,9,0,11.2,8.8
25.9,93.75,143,3.247697115,299.3456726,0,0.8,0,1.4,0,40.2,5,0,32.4,14.6,6.5,28.3,0,0,0
25.92,93.75,141,2.148596287,278.525177,0,0,0,0,0,4.2,3,0,0,0.2,6.2,7.8,0,0,0
25.95,90.22,34,0.476587951,311.9610596,0,0,0,0.2,0,0,0,18.4,5.6,0,12.8,0.2,0,7.4,9.4
25.97,92.6,71,0.708878219,90,0,0,6.2,0,2.1,0,0,4.2,2.3,0,0,5.2,3.2,5.3,8.2
26.02,89.98,31,0.729302406,330.9086609,0,0,0,23.6,0,0,0,0,7.2,1.8,4.7,0,0,1.2,48.2
26.02,93.78,139,0.77747184,114.1953888,0,0,0,0,0,7,0,0,0,0,0,45,8,0,7.5
26.07,93.13,92,1.322876453,195.5527649,0,0,0,7,12,20,0,12.2,64.3,10.2,0,0,0,0,0
26.1,91.58,51,0.729420245,29.10797501,0,0,12.9,3.2,13.8,2,7.8,2.6,0,0,28.8,0,2.6,0,42.4
26.1,94.25,1250,16.59986305,265.7202148,0,0,22.2,1.6,3.2,2.8,2.2,0,4.6,62.8,2.8,6.8,0,5.8,2.4
26.15,89.47,39,0,0,0,0.4,15.8,23.8,48.8,0,0,12.4,1.6,8.8,0,0,0,0.2,30.8
26.15,94.55,1202,24.98055649,265.8925476,1.6,4.6,42.2,4.2,1.2,0.8,0,0,12.8,42.8,49.4,2.6,0,0,2.4
26.17,89.25,44,0.954100311,48.09241104,78,0.1,40.2,55.4,111.4,0.6,0,29.2,0,4.8,14.2,0,7,9.8,66.2
